epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
75,4915.37,0.61475,0.45543,0.0682,0.75456,0.75674,0.76268,0.29282,0.71211,0.50434,0.08134,2.6074e-05,2.6074e-05,2.6074e-05
76,4980.33,0.61733,0.45166,0.06913,0.8205,0.71077,0.76993,0.29391,0.70964,0.50364,0.08099,2.5075e-05,2.5075e-05,2.5075e-05
77,5045.68,0.61043,0.45,0.06527,0.82833,0.71266,0.77356,0.29584,0.71502,0.51032,0.08246,2.4076e-05,2.4076e-05,2.4076e-05
78,5110.97,0.60507,0.45587,0.06458,0.81634,0.72308,0.76747,0.287,0.72052,0.50387,0.08295,2.3077e-05,2.3077e-05,2.3077e-05
79,5176.12,0.59807,0.45734,0.06573,0.82076,0.71858,0.76293,0.28753,0.71473,0.5116,0.08178,2.2078e-05,2.2078e-05,2.2078e-05
80,5241.55,0.59646,0.44865,0.06458,0.80893,0.71385,0.76427,0.28944,0.71866,0.50312,0.08314,2.1079e-05,2.1079e-05,2.1079e-05
81,5306.78,0.59553,0.45802,0.0635,0.78696,0.73877,0.77306,0.29502,0.72355,0.49497,0.08431,2.008e-05,2.008e-05,2.008e-05
82,5372.11,0.58684,0.44667,0.06497,0.77909,0.71077,0.75181,0.29277,0.72783,0.49543,0.08506,1.9081e-05,1.9081e-05,1.9081e-05
83,5437.12,0.58891,0.4448,0.06469,0.80902,0.71077,0.75954,0.28986,0.7175,0.51052,0.08302,1.8082e-05,1.8082e-05,1.8082e-05
84,5502.33,0.58357,0.44654,0.06245,0.77453,0.72,0.7555,0.28505,0.73043,0.50445,0.08499,1.7083e-05,1.7083e-05,1.7083e-05
85,5567.86,0.58282,0.44914,0.0632,0.79076,0.72,0.76555,0.28697,0.72531,0.50955,0.08393,1.6084e-05,1.6084e-05,1.6084e-05
